Time,Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS]
2014,Sub-Saharan Africa,59.4047969219195,4.85905786555782,29.6022370025971,58.5611915268347
2014,South Asia,68.3402033187487,3.53090056430003,53.6594201381653,88.1372694243729
2014,North America,79.1380829122827,15.8314305327987,99.7364961492272,99.3434751886592
2014,Middle East & North Africa,73.3264377801142,5.10811193580468,89.1359788891231,92.8516692468723
2014,Latin America & Caribbean,74.7990465003133,7.44032833031227,85.1212645457363,95.6960754093049
2014,Europe & Central Asia,77.2827856944614,9.2116457203685,96.0278373920887,97.8629483236493
2014,East Asia & Pacific,75.1251890144074,6.51195403853632,82.3437001233416,91.14191459322
2015,Sub-Saharan Africa,59.9528305717917,5.12788413328569,30.190902986077,59.6021771137936
2015,South Asia,68.6419007195258,3.51104934544981,56.2629539894494,88.5863917383415
2015,North America,79.012114325868,16.236799322556,99.7144292628608,99.4254156561111
2015,Middle East & North Africa,73.5148446917032,5.62106325697928,89.6321320536117,93.2184757655654
2015,Latin America & Caribbean,74.9616876443858,7.91620228145649,85.8250412778208,96.0054956655138
2015,Europe & Central Asia,77.240678024492,9.28930088190218,96.2246767552411,97.9490233899249
2015,East Asia & Pacific,75.3925946649761,6.47030071082542,83.8294248174539,91.7028506779467
2016,Sub-Saharan Africa,60.4423935617356,5.09366139314444,30.7835742411989,60.6379187903585
2016,South Asia,68.9161581005149,3.44679692465847,58.8734316367385,89.0346247385643
2016,North America,78.8773349028289,16.5914866049896,99.6924917432441,99.5060706720212
2016,Middle East & North Africa,73.7107710168387,5.77075918846523,90.1338545050753,93.5826894849529
2016,Latin America & Caribbean,75.122023177978,7.89493440905874,86.5197400934065,96.2816795410106
2016,Europe & Central Asia,77.5955352961588,9.3419949385593,96.4024256447724,98.03213786399
2016,East Asia & Pacific,75.6355832468002,6.59398006260035,85.2991270120258,92.2395383184611
2017,Sub-Saharan Africa,60.8800162996276,5.12408797537837,31.3924321413801,61.6582835380733
2017,South Asia,69.1713277262734,3.46161425193277,61.4894822621763,89.4813452801423
2017,North America,78.879092460527,16.5200185989744,99.6707868709511,99.585425110631
2017,Middle East & North Africa,73.8998180588421,6.23263942561651,90.6091186486889,93.9420970927789
2017,Latin America & Caribbean,75.282086607756,8.19965276935019,86.5476535609522,96.4736973440366
2017,Europe & Central Asia,77.7884313162796,9.26457616668426,96.5650685628016,98.1164810230329
2017,East Asia & Pacific,75.8660330833352,6.58594210920844,86.7510297377215,92.7596773927655
2018,Sub-Saharan Africa,61.273032490238,5.09403364625313,31.816023907305,62.6379293555872
2018,South Asia,69.4122699440301,3.48467393830339,64.1101706866972,89.9258020864322
2018,North America,78.9867913071173,16.4154072445522,99.6492118157396,99.6633065191668
2018,Middle East & North Africa,74.0888330897789,5.83354852705967,91.0274313102381,94.2865632867013
2018,Latin America & Caribbean,75.4408494044772,7.96622043532372,87.2175472994506,96.7455445143561
2018,Europe & Central Asia,77.9101525774327,9.29894471984055,96.7058923348765,98.1881158861687
2018,East Asia & Pacific,76.0688639164031,6.68437783841147,88.1872202763543,93.2541826605753
